ID, ideology, leadership, name, party, description, introduced_bills_115, cosponsored_bills_115, unique_cosponsors_115, total_cosponsors_115
412660, 0.778787210194, 0.524911183317, Newhouse, Republican, rank-and-file Republican, 19, 158, 168, 263
412659, 0.352639834238, 0.280358367126, Plaskett, Democrat, moderate Democratic follower, 16, 125, 60, 80
412624, 0.794635729056, 0.380967345743, Loudermilk, Republican, rank-and-file Republican, 9, 158, 90, 116
412657, 0.289456306144, 0.571614200063, Beyer, Democrat, rank-and-file Democrat, 12, 343, 177, 652
412655, 0.925429485785, 0.622903762881, Babin, Republican, conservative Republican, 14, 248, 143, 279
412627, 0.75809775128, 0.206794606621, Blum, Republican, moderate Republican follower, 11, 126, 32, 38
412623, 0.861275490509, 0.529359864217, Hice, Republican, conservative Republican, 10, 242, 88, 130
412608, 0.704736598787, 0.671415877647, Palmer, Republican, rank-and-file Republican, 6, 81, 184, 308
412652, 0.372390558447, 0.316014085467, Boyle, Democrat, rank-and-file Democrat, 19, 351, 128, 185
412651, 0.625742808187, 0.283577914469, Costello, Republican, centrist Republican follower , 11, 291, 46, 51
412672, 0.593857084375, 0.30539277719, Donovan, Republican, centrist Republican follower , 15, 319, 82, 107
412633, 0.706045004926, 0.302475825347, Poliquin, Republican, moderate Republican follower, 18, 210, 31, 34
412664, 0.55737080075, 0.0296092743175, Amata, Republican, centrist Republican follower , 11, 153, 7, 12
412646, 0.684229435367, 0.624122201672, Zeldin, Republican, rank-and-file Republican, 24, 233, 199, 356
412621, 0.651385584161, 0.719517275887, Curbelo, Republican, centrist Republican, 20, 288, 159, 278
412654, 0.646133698213, 0.429783046748, Hurd, Republican, centrist Republican, 9, 122, 131, 168
412629, 0.717411791776, 0.402372800806, Bost, Republican, rank-and-file Republican, 10, 188, 108, 146
412634, 0.729428490239, 0.103793422143, Moolenaar, Republican, moderate Republican follower, 4, 154, 11, 13
412618, 0.674305495879, 0.306619908047, Walters, Republican, moderate Republican follower, 7, 112, 27, 29
412675, 0.639571111844, 0.455849893778, Davidson, Republican, centrist Republican, 13, 93, 122, 152
412661, 0.883761166402, 0.291881806788, Grothman, Republican, lonley conservative Republican follower, 12, 261, 62, 93
412674, 0.671697943588, 0.422365825317, LaHood, Republican, rank-and-file Republican, 10, 132, 141, 196
412670, 0.741420448224, 0.543638145744, Walker, Republican, rank-and-file Republican, 11, 132, 122, 147
412653, 0.796576038393, 0.608293614338, Ratcliffe, Republican, rank-and-file Republican, 14, 167, 112, 175
412619, 0.721568204766, 0.331408973695, Buck, Republican, rank-and-file Republican, 27, 99, 44, 52
412636, 0.700328014862, 0.370768227082, Trott, Republican, rank-and-file Republican, 12, 128, 132, 143
412631, 0.657357779438, 0.476533756906, Graves [LA6], Republican, centrist Republican, 9, 73, 133, 185
412650, 0.702972507955, 0.399812577487, Russell, Republican, rank-and-file Republican, 20, 114, 63, 77
412677, 0.275629215627, 0.0145166563319, Evans, Democrat, moderate Democratic follower, 8, 530, 7, 7
412676, 0.611902942664, 0.1381292176, Comer, Republican, centrist Republican follower , 3, 98, 46, 47
412713, 0.647436951288, 0.321988032606, Bacon, Republican, centrist Republican follower , 16, 233, 110, 141
412697, 0.399780261656, 0.345291071789, Crist, Democrat, centrist Democrat, 10, 270, 158, 185
412696, 0.393908012679, 0.284010631019, Demings, Democrat, centrist Democratic follower, 6, 233, 144, 146
412719, 0.565319857464, 0.240915526225, Faso, Republican, centrist Republican follower , 19, 233, 82, 140
412721, 0.569641810313, 0.501864871124, Fitzpatrick, Republican, centrist Republican, 27, 368, 221, 366
412690, 0.676472448038, 0.348570103907, Gaetz, Republican, rank-and-file Republican, 12, 250, 105, 159
412723, 0.53964247924, 0.0607366623518, González-Colón, Republican, centrist Republican follower , 14, 131, 15, 36
412684, 0.288268355771, 0.271828802183, Khanna, Democrat, moderate Democratic follower, 9, 583, 111, 222
412716, 0.393390659016, 0.0651993123922, Kihuen, Democrat, centrist Democratic follower, 9, 227, 22, 28
412722, 0.639083845483, 0.251986206254, Smucker, Republican, centrist Republican follower , 11, 169, 66, 82
412717, 0.439300230788, 0.103564260077, Suozzi, Democrat, centrist Democratic follower, 7, 265, 27, 30
412720, 0.619592257342, 0.228765396468, Tenney, Republican, centrist Republican follower , 17, 221, 78, 93
412683, 0.688726422191, 0.391238349451, Biggs, Republican, rank-and-file Republican, 18, 188, 128, 186
412691, 0.662983246959, 0.306487077332, Dunn, Republican, moderate Republican follower, 12, 169, 91, 134
412729, 0.657933933859, 0.308584022349, Garrett, Republican, centrist Republican follower , 15, 196, 87, 146
412706, 0.631626338085, 0.128778331501, Johnson [LA4], Republican, centrist Republican follower , 8, 108, 26, 28
412692, 0.600849992351, 0.343663152441, Rutherford, Republican, centrist Republican, 11, 151, 110, 135
412687, 0.302924525636, 0.211595397496, Barragán, Democrat, moderate Democratic follower, 11, 345, 93, 148
412689, 0.38488721499, 0.0172651392032, Blunt Rochester, Democrat, moderate Democratic follower, 5, 252, 6, 6
412715, 0.429060634795, 0.212506992923, Rosen, Democrat, centrist Democratic follower, 13, 368, 83, 125
412704, 0.676910347966, 0.253931216122, Marshall, Republican, moderate Republican follower, 10, 213, 78, 94
412688, 0.432110689729, 0.334500773961, Correa, Democrat, centrist Democrat, 18, 263, 144, 280
412695, 0.309117079251, 0.260173954041, Soto, Democrat, moderate Democratic follower, 24, 542, 93, 162
412714, 0.518182807695, 0.190869958139, Gottheimer, Democrat, centrist Democratic follower, 12, 198, 73, 83
412686, 0.366797062618, 0.332582952507, Carbajal, Democrat, rank-and-file Democrat, 16, 325, 143, 239
412718, 0.325212178406, 0.333436268373, Espaillat, Democrat, rank-and-file Democrat, 21, 351, 133, 329
412739, 0.395680102187, 0.0835049787434, Gomez, Democrat, centrist Democratic follower, 2, 164, 29, 29
412730, 0.272218343592, 0.359477284316, Jayapal, Democrat, rank-and-file Democrat, 13, 497, 146, 406
412701, 0.40330982117, 0.326263903868, Krishnamoorthi, Democrat, centrist Democrat, 16, 250, 147, 285
412728, 0.379857052112, 0.296312337889, McEachin, Democrat, moderate Democratic follower, 11, 232, 129, 240
412694, 0.462624809569, 0.496304362457, Murphy [FL7], Democrat, centrist Democrat, 15, 226, 223, 625
412685, 0.400632745156, 0.118674959303, Panetta, Democrat, centrist Democratic follower, 6, 267, 40, 43
412708, 0.266928338111, 0.242292148904, Raskin, Democrat, moderate Democratic follower, 8, 656, 103, 160
412707, 0.390221790845, 0.360684247309, Brown, Democrat, rank-and-file Democrat, 18, 249, 162, 333
412693, 0.403178413266, 0.296315844021, Lawson, Democrat, centrist Democratic follower, 16, 237, 107, 250
412702, 0.707077984132, 0.334104125284, Banks, Republican, rank-and-file Republican, 18, 202, 98, 139
412709, 0.596280635243, 0.222754822194, Bergman, Republican, centrist Republican follower , 8, 130, 67, 103
412711, 0.582922447008, 0.1260534731, Lewis [MN2], Republican, centrist Republican follower , 7, 94, 39, 47
412698, 0.565732889775, 0.261265179967, Mast, Republican, centrist Republican follower , 15, 181, 72, 92
412712, 0.671702581313, 0.320489711023, Budd, Republican, moderate Republican follower, 21, 164, 81, 113
412700, 0.659036886839, 0.136535847891, Ferguson, Republican, centrist Republican follower , 7, 152, 28, 41
412725, 0.486224514639, 0.0546579738651, Gonzalez, Democrat, centrist Democratic follower, 3, 269, 21, 22
412727, 0.557917291505, 0.288101327373, Taylor, Republican, centrist Republican follower , 14, 90, 106, 139
412710, 0.662793588491, 0.122572592959, Mitchell, Republican, centrist Republican follower , 5, 171, 39, 40
412732, 0.592113544923, 0.0984393592909, Cheney, Republican, centrist Republican follower , 18, 74, 21, 26
